2025-01-22 12:53:08 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.4.1.Final} (Line: 46)
2025-01-22 12:53:09 [main] WARN  org.hibernate.orm.deprecation - HHH90000012: Recognized obsolete hibernate namespace http://hibernate.sourceforge.net/hibernate-configuration. Use namespace http://www.hibernate.org/dtd/hibernate-configuration instead.  Support for obsolete DTD/XSD namespaces may be removed at any time. (Line: 91)
2025-01-22 12:53:09 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final} (Line: 49)
2025-01-22 12:53:10 [main] WARN  org.hibernate.orm.connections.pooling - HHH10001002: Using Hibernate built-in connection pool (not for production use!) (Line: 72)
2025-01-22 12:53:10 [main] INFO  org.hibernate.orm.connections.pooling - HHH10001005: using driver [com.mysql.cj.jdbc.Driver] at URL [jdbc:mysql://10.10.44.43:3306/ops_db] (Line: 115)
2025-01-22 12:53:10 [main] INFO  org.hibernate.orm.connections.pooling - HHH10001001: Connection properties: {user=root, password=****} (Line: 124)
2025-01-22 12:53:10 [main] INFO  org.hibernate.orm.connections.pooling - HHH10001003: Autocommit mode: false (Line: 129)
2025-01-22 12:53:10 [main] INFO  org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl - HHH000115: Hibernate connection pool size: 20 (min=1) (Line: 239)
2025-01-22 12:53:11 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect (Line: 158)
2025-01-22 12:53:17 [main] INFO  com.corent.ticketbooking.ManageTickets - Listing all booked tickets. (Line: 91)
2025-01-22 12:53:21 [main] INFO  com.corent.ticketbooking.ManageTickets - Ticket found for closing. PassengerID: 2 (Line: 144)
2025-01-22 12:53:24 [main] INFO  com.corent.ticketbooking.ManageTickets - Ticket with PassengerID 2 has been successfully closed. (Line: 155)
2025-01-22 12:53:27 [main] INFO  com.corent.ticketbooking.ManageTickets - Listing all booked tickets. (Line: 91)
